id,from,to,cost,nodes
75,93332051,599406636,228.38,"['93332051', '93338124', '3356022885', '93325948', '599406894', '599406636']"
76,93332051,93332110,7.48,"['93332051', '93332110']"
77,93332110,93332051,7.48,"['93332110', '93332051']"
78,93332110,599406978,206.44,"['93332110', '93337986', '3356022889', '599406980', '599406978']"
79,599406978,93332110,206.44,"['599406978', '599406980', '3356022889', '93337986', '93332110']"
80,599406978,599407025,101.43,"['599406978', '599407025']"
81,599407025,599406978,101.43,"['599407025', '599406978']"
82,599407025,1316623640,76.75,"['599407025', '1316623640']"
83,1316623640,599407025,76.75,"['1316623640', '599407025']"
84,1316623640,1316623550,26.19,"['1316623640', '1316623550']"
85,1316623550,1316623640,26.19,"['1316623550', '1316623640']"
86,1316623550,1316623499,14.42,"['1316623550', '1316623499']"
87,1316623499,1316623550,14.42,"['1316623499', '1316623550']"
88,1316623499,599407018,31.46,"['1316623499', '599407018']"
89,599407018,1316623499,31.46,"['599407018', '1316623499']"
90,599407018,7682752532,188.56,"['599407018', '1573781731', '599407014', '7682752532']"
91,7682752532,599407018,188.56,"['7682752532', '599407014', '1573781731', '599407018']"
92,7682752532,624739122,176.06,"['7682752532', '481433745', '845389542', '479284114', '624739122']"
93,624739122,7682752532,176.06,"['624739122', '479284114', '845389542', '481433745', '7682752532']"
94,624739122,848690444,23.65,"['624739122', '848690444']"
95,848690444,624739122,23.65,"['848690444', '624739122']"
96,848690444,599408454,123.48,"['848690444', '6975647434', '599408454']"
97,599408454,848690444,123.48,"['599408454', '6975647434', '848690444']"
98,599408454,476792263,82.62,"['599408454', '1889255117', '476792263']"
99,476792263,599408454,82.62,"['476792263', '1889255117', '599408454']"
100,93325983,93332133,104.25,"['93325983', '93325898', '3356022888', '93338003', '93332133']"
101,93332133,93325983,104.25,"['93332133', '93338003', '3356022888', '93325898', '93325983']"
102,93332133,93332044,8.54,"['93332133', '93332044']"
103,93332044,93332133,8.54,"['93332044', '93332133']"
104,93332044,639309886,85.98,"['93332044', '93338063', '3356022886', '639309886']"
105,639309886,93332044,85.98,"['639309886', '3356022886', '93338063', '93332044']"
106,639309886,639308707,52.55,"['639309886', '93325977', '639308707']"
107,639308707,639309886,52.55,"['639308707', '93325977', '639309886']"
108,639308707,1316236955,26.88,"['639308707', '1316236955']"
109,1316236955,639308707,26.88,"['1316236955', '639308707']"
110,1316236955,1316236371,43.84,"['1316236955', '1316236371']"
111,1316236371,1316236955,43.84,"['1316236371', '1316236955']"
112,1316236371,476552806,19.62,"['1316236371', '476552806']"
113,476552806,1316236371,19.62,"['476552806', '1316236371']"
114,476552806,1316471903,19.0,"['476552806', '1316471903']"
115,1316471903,476552806,19.0,"['1316471903', '476552806']"
116,1316471903,1316236342,32.96,"['1316471903', '1316236342']"
117,1316236342,1316471903,32.96,"['1316236342', '1316471903']"
118,1316236342,599406834,127.07,"['1316236342', '4464345989', '6975647418', '599406834']"
119,599406834,1316236342,127.07,"['599406834', '6975647418', '4464345989', '1316236342']"
120,95612191,4397155843,91.73,"['95612191', '483107387', '4397155843']"
121,4397155843,95612191,91.73,"['4397155843', '483107387', '95612191']"
122,4397155843,483103101,155.83,"['4397155843', '1807311604', '483103101']"
123,483103101,4397155843,155.83,"['483103101', '1807311604', '4397155843']"
124,483103101,601145290,144.27,"['483103101', '601145290']"
125,601145290,483103101,144.27,"['601145290', '483103101']"
126,601145290,76482738,16.83,"['601145290', '76482738']"
127,76482738,601145290,16.83,"['76482738', '601145290']"
128,639305926,654397602,54.37,"['639305926', '654397602']"
129,654397602,639305926,54.37,"['654397602', '639305926']"
130,654397602,95679584,134.04,"['654397602', '95679584']"
131,95679584,654397602,134.04,"['95679584', '654397602']"
132,857780858,93310009,136.79,"['857780858', '2049780811', '1572267371', '93310009']"
133,93310009,857780858,136.79,"['93310009', '1572267371', '2049780811', '857780858']"
134,93310009,147477301,92.59,"['93310009', '147477301']"
135,147477301,93310009,92.59,"['147477301', '93310009']"
136,147477301,601145288,73.54,"['147477301', '601145288']"
137,601145288,147477301,73.54,"['601145288', '147477301']"
138,601145288,93310272,14.06,"['601145288', '93310272']"
139,93310272,601145288,14.06,"['93310272', '601145288']"
140,76482739,385114252,177.66,"['76482739', '385114252']"
141,385114252,76482739,177.66,"['385114252', '76482739']"
142,479322299,4153722393,100.45,"['479322299', '4153722393']"
143,4153722393,479322299,100.45,"['4153722393', '479322299']"
144,93310875,476554611,20.11,"['93310875', '476554611']"
145,476554611,93310875,20.11,"['476554611', '93310875']"
146,476554611,1316471849,28.79,"['476554611', '1316471849']"
147,1316471849,476554611,28.79,"['1316471849', '476554611']"
148,1316471849,1316471807,130.99,"['1316471849', '3356028132', '3356028131', '1316471807']"
149,1316471807,1316471849,130.99,"['1316471807', '3356028131', '3356028132', '1316471849']"
150,1316471807,475977669,13.31,"['1316471807', '475977669']"
151,475977669,1316471807,13.31,"['475977669', '1316471807']"
152,475977669,1320104044,25.61,"['475977669', '1320104044']"
153,1320104044,475977669,25.61,"['1320104044', '475977669']"
154,1320104044,76482745,20.45,"['1320104044', '76482745']"
155,76482745,1320104044,20.45,"['76482745', '1320104044']"
156,152878638,482733092,110.05,"['152878638', '482733092']"
157,482733092,152878638,110.05,"['482733092', '152878638']"
158,482733092,152878617,97.61,"['482733092', '152878617']"
159,152878617,482733092,97.61,"['152878617', '482733092']"
160,152847559,848690444,349.5,"['152847559', '75355694', '479280255', '1315785553', '479280088', '4075546745', '1315785456', '845390852', '848690433', '848690442', '848690444']"
161,848690444,152847559,349.5,"['848690444', '848690442', '848690433', '845390852', '1315785456', '4075546745', '479280088', '1315785553', '479280255', '75355694', '152847559']"
162,848690444,385113975,410.14,"['848690444', '152847380', '479284103', '6975647431', '75355695', '479281346', '479282364', '479283382', '624739361', '848690687', '4075546743', '848690530', '1315785324', '848690690', '848690692', '848690693', '385113975']"
163,385113975,848690444,410.14,"['385113975', '848690693', '848690692', '848690690', '1315785324', '848690530', '4075546743', '848690687', '624739361', '479283382', '479282364', '479281346', '75355695', '6975647431', '479284103', '152847380', '848690444']"
164,477619297,479284692,240.77,"['477619297', '1315785335', '479293261', '1315785307', '479284692']"
165,479284692,477619297,240.77,"['479284692', '1315785307', '479293261', '1315785335', '477619297']"
166,479284692,1315785370,91.3,"['479284692', '1315785615', '1315785370']"
167,1315785370,479284692,91.3,"['1315785370', '1315785615', '479284692']"
168,1315785370,385113975,65.44,"['1315785370', '385113975']"
169,385113975,1315785370,65.44,"['385113975', '1315785370']"
170,385113763,483098146,44.74,"['385113763', '483098146']"
171,483098146,385113763,44.74,"['483098146', '385113763']"
172,483098146,1316236875,72.87,"['483098146', '475976273', '1316236875']"
173,1316236875,483098146,72.87,"['1316236875', '475976273', '483098146']"
174,1316236875,481395518,69.12,"['1316236875', '475976274', '475976275', '481395518']"
175,481395518,1316236875,69.12,"['481395518', '475976275', '475976274', '1316236875']"
176,481395518,1316197001,70.07,"['481395518', '475976279', '1316197001']"
177,1316197001,481395518,70.07,"['1316197001', '475976279', '481395518']"
178,1316197001,481391756,35.48,"['1316197001', '475976282', '481391756']"
179,481391756,1316197001,35.48,"['481391756', '475976282', '1316197001']"
180,481391756,475976301,172.76,"['481391756', '475976284', '481390910', '481390911', '481390912', '1316192095', '481390913', '475976289', '1316192114', '475976293', '1316192034', '475976301']"
181,475976301,481391756,172.76,"['475976301', '1316192034', '475976293', '1316192114', '475976289', '481390913', '1316192095', '481390912', '481390911', '481390910', '475976284', '481391756']"
182,475976301,385113562,130.0,"['475976301', '475976308', '475976313', '475976318', '385113562']"
183,385113562,475976301,130.0,"['385113562', '475976318', '475976313', '475976308', '475976301']"
184,385113795,1548518395,29.92,"['385113795', '1548518395']"
185,1548518395,385113795,29.92,"['1548518395', '385113795']"
186,1548518395,385114529,10.31,"['1548518395', '385114529']"
187,385114529,1548518395,10.31,"['385114529', '1548518395']"
188,385114529,1317670965,47.68,"['385114529', '1317670965']"
189,1317670965,385114529,47.68,"['1317670965', '385114529']"
190,1317670965,1317671386,73.67,"['1317670965', '1317670843', '1317671386']"
191,1317671386,1317670965,73.67,"['1317671386', '1317670843', '1317670965']"
192,1317671386,1317670969,111.95,"['1317671386', '385114454', '1317670969']"
193,1317670969,1317671386,111.95,"['1317670969', '385114454', '1317671386']"
194,1317670969,475978447,31.78,"['1317670969', '475978447']"
195,475978447,1317670969,31.78,"['475978447', '1317670969']"
196,475978447,1317671372,72.41,"['475978447', '1317671372']"
197,1317671372,475978447,72.41,"['1317671372', '475978447']"
198,1317671372,482729435,36.79,"['1317671372', '482729435']"
199,482729435,1317671372,36.79,"['482729435', '1317671372']"
200,482729435,475980598,86.93,"['482729435', '475982300', '475980598']"
201,475980598,482729435,86.93,"['475980598', '475982300', '482729435']"
202,475980598,602393484,29.04,"['475980598', '602393484']"
203,602393484,475980598,29.04,"['602393484', '475980598']"
204,602393484,1320103881,60.25,"['602393484', '475982002', '1320103881']"
205,1320103881,602393484,60.25,"['1320103881', '475982002', '602393484']"
206,1320103881,1320104095,15.12,"['1320103881', '1320104095']"
207,1320104095,1320103881,15.12,"['1320104095', '1320103881']"
208,1320104095,476560879,13.15,"['1320104095', '476560879']"
209,476560879,1320104095,13.15,"['476560879', '1320104095']"
210,476560879,4252530974,124.8,"['476560879', '385114438', '385114439', '4252530974']"
211,4252530974,476560879,124.8,"['4252530974', '385114439', '385114438', '476560879']"
212,4252530974,1320103751,17.04,"['4252530974', '1320103751']"
213,1320103751,4252530974,17.04,"['1320103751', '4252530974']"
214,1320103751,4198258583,234.17,"['1320103751', '1319204544', '385114441', '385114442', '385114443', '4198258583']"
215,4198258583,1320103751,234.17,"['4198258583', '385114443', '385114442', '385114441', '1319204544', '1320103751']"
216,4198258583,654400890,63.97,"['4198258583', '1548480976', '654400890']"
217,654400890,4198258583,63.97,"['654400890', '1548480976', '4198258583']"
218,654400890,476559359,97.41,"['654400890', '385114444', '7113864535', '476559359']"
219,476559359,654400890,97.41,"['476559359', '7113864535', '385114444', '654400890']"
220,476559359,1324294551,147.78,"['476559359', '385114445', '385114446', '7113864536', '385114447', '1324294551']"
221,1324294551,476559359,147.78,"['1324294551', '385114447', '7113864536', '385114446', '385114445', '476559359']"
222,1324294551,476555419,106.28,"['1324294551', '7113864537', '385114448', '476555419']"
223,476555419,1324294551,106.28,"['476555419', '385114448', '7113864537', '1324294551']"
224,476555419,476553962,271.5,"['476555419', '7113864539', '385114449', '1404037065', '385114450', '385114451', '7113864525', '476553962']"
225,476553962,476555419,271.5,"['476553962', '7113864525', '385114451', '385114450', '1404037065', '385114449', '7113864539', '476555419']"
226,476553962,476553848,10.57,"['476553962', '476553848']"
227,476553848,476553962,10.57,"['476553848', '476553962']"
228,476553848,1316472128,42.27,"['476553848', '7113864528', '1316472128']"
229,1316472128,476553848,42.27,"['1316472128', '7113864528', '476553848']"
230,1316472128,1316471884,37.66,"['1316472128', '1316471884']"
231,1316471884,1316472128,37.66,"['1316471884', '1316472128']"
232,1316471884,476559990,43.71,"['1316471884', '476559990']"
233,476559990,1316471884,43.71,"['476559990', '1316471884']"
234,476559990,481498557,107.15,"['476559990', '385114245', '481498557']"
235,481498557,476559990,107.15,"['481498557', '385114245', '476559990']"
236,481498557,1404036994,43.52,"['481498557', '385114246', '1404036994']"
237,1404036994,481498557,43.52,"['1404036994', '385114246', '481498557']"
238,1404036994,476558313,64.56,"['1404036994', '385114247', '7113864520', '476558313']"
239,476558313,1404036994,64.56,"['476558313', '7113864520', '385114247', '1404036994']"
240,476558313,476556645,254.2,"['476558313', '7113864519', '1563370151', '385114248', '385114249', '476556645']"
241,476556645,476558313,254.2,"['476556645', '385114249', '385114248', '1563370151', '7113864519', '476558313']"
242,476556645,639305926,125.37,"['476556645', '385114250', '639305926']"
243,639305926,476556645,125.37,"['639305926', '385114250', '476556645']"
244,639305926,385114252,136.43,"['639305926', '385114251', '385114252']"
245,385114252,639305926,136.43,"['385114252', '385114251', '639305926']"
246,385114252,476560259,135.15,"['385114252', '476560812', '476560259']"
247,476560259,385114252,135.15,"['476560259', '476560812', '385114252']"
248,476560259,639305947,16.27,"['476560259', '639305947']"
249,639305947,476560259,16.27,"['639305947', '476560259']"
250,639305947,482732943,197.48,"['639305947', '385113967', '385113968', '385113969', '482732943']"
251,482732943,639305947,197.48,"['482732943', '385113969', '385113968', '385113967', '639305947']"
252,482732943,385113763,94.82,"['482732943', '385113763']"
253,385113763,482732943,94.82,"['385113763', '482732943']"
254,385113795,152848312,179.7,"['385113795', '75354589', '5070865547', '481387832', '152848312']"
255,152848312,385113795,179.7,"['152848312', '481387832', '5070865547', '75354589', '385113795']"
256,152848312,210643104,339.37,"['152848312', '1548537346', '75354590', '152848344', '475974959', '75355689', '1548537347', '481384546', '1548537435', '7113798208', '75355690', '1548537303', '210643104']"
257,210643104,152848312,339.37,"['210643104', '1548537303', '75355690', '7113798208', '1548537435', '481384546', '1548537347', '75355689', '475974959', '152848344', '75354590', '1548537346', '152848312']"
258,385113763,4705342936,77.61,"['385113763', '4705342936']"
259,4705342936,385113763,77.61,"['4705342936', '385113763']"
260,4705342936,1315785490,53.65,"['4705342936', '1315785490']"
261,1315785490,4705342936,53.65,"['1315785490', '4705342936']"
262,1315785490,385114569,70.38,"['1315785490', '385114569']"
263,385114569,1315785490,70.38,"['385114569', '1315785490']"
264,385114569,601145319,13.32,"['385114569', '601145319']"
265,601145319,385114569,13.32,"['601145319', '385114569']"
266,475975347,1316623423,59.15,"['475975347', '1316623423']"
267,1316623423,475975347,59.15,"['1316623423', '475975347']"
268,1316623423,475975640,54.33,"['1316623423', '475975640']"
269,475975640,1316623423,54.33,"['475975640', '1316623423']"
270,475975640,475975342,31.48,"['475975640', '475975342']"
271,475975342,475975640,31.48,"['475975342', '475975640']"
272,475975342,1316623456,31.55,"['475975342', '1316623456']"
273,1316623456,475975342,31.55,"['1316623456', '475975342']"
274,1316623456,1316623630,14.86,"['1316623456', '1316623630']"
275,1316623630,1316623456,14.86,"['1316623630', '1316623456']"
276,1316623630,1316623408,12.97,"['1316623630', '1316623408']"
277,1316623408,1316623630,12.97,"['1316623408', '1316623630']"
278,1316623408,481390471,23.8,"['1316623408', '481390471']"
279,481390471,1316623408,23.8,"['481390471', '1316623408']"
280,481390471,1316623482,15.29,"['481390471', '1316623482']"
281,1316623482,481390471,15.29,"['1316623482', '481390471']"
282,1316623482,1316623251,23.25,"['1316623482', '1316623251']"
283,1316623251,1316623482,23.25,"['1316623251', '1316623482']"
284,1316623251,1316623556,7.59,"['1316623251', '1316623556']"
285,1316623556,1316623251,7.59,"['1316623556', '1316623251']"
286,1316623556,1316623264,8.68,"['1316623556', '1316623264']"
287,1316623264,1316623556,8.68,"['1316623264', '1316623556']"
288,1316623264,1316623476,25.15,"['1316623264', '1316623476']"
289,1316623476,1316623264,25.15,"['1316623476', '1316623264']"
290,1316623476,1316623193,5.28,"['1316623476', '1316623193']"
291,1316623193,1316623476,5.28,"['1316623193', '1316623476']"
292,1316623193,1316623266,11.97,"['1316623193', '1316623266']"
293,1316623266,1316623193,11.97,"['1316623266', '1316623193']"
294,1316623266,475975057,26.71,"['1316623266', '475975057']"
295,475975057,1316623266,26.71,"['475975057', '1316623266']"
296,481394996,481433742,127.17,"['481394996', '1315785481', '481433742']"
297,481433742,481394996,127.17,"['481433742', '1315785481', '481394996']"
298,475975640,1316623694,39.31,"['475975640', '1316623694']"
299,1316623694,475975640,39.31,"['1316623694', '475975640']"
300,1316623694,1316623230,21.34,"['1316623694', '1316623230']"
301,1316623230,1316623694,21.34,"['1316623230', '1316623694']"
302,1316623230,1316623472,32.92,"['1316623230', '1316623472']"
303,1316623472,1316623230,32.92,"['1316623472', '1316623230']"
304,1316623472,475975643,33.48,"['1316623472', '475975643']"
305,475975643,1316623472,33.48,"['475975643', '1316623472']"
306,475977438,1316694037,81.58,"['475977438', '1316694037']"
307,1316694037,475977438,81.58,"['1316694037', '475977438']"
308,1316694037,1317671186,22.91,"['1316694037', '475977445', '1317671186']"
309,1317671186,1316694037,22.91,"['1317671186', '475977445', '1316694037']"
310,1317671186,1317671375,18.84,"['1317671186', '1317671375']"
311,1317671375,1317671186,18.84,"['1317671375', '1317671186']"
312,1317671375,475976364,61.59,"['1317671375', '475977454', '475976364']"
313,475976364,1317671375,61.59,"['475976364', '475977454', '1317671375']"
314,475976364,1317671028,79.77,"['475976364', '475976996', '1317671028']"
315,1317671028,475976364,79.77,"['1317671028', '475976996', '475976364']"
316,1317671028,3758885817,20.4,"['1317671028', '3758885817']"
317,3758885817,1317671028,20.4,"['3758885817', '1317671028']"
318,3758885817,2969936436,126.09,"['3758885817', '2969936436']"
319,2969936436,3758885817,126.09,"['2969936436', '3758885817']"
320,2969936436,599406978,97.68,"['2969936436', '599406978']"
321,599406978,2969936436,97.68,"['599406978', '2969936436']"
322,599406978,475977000,12.45,"['599406978', '475977000']"
323,475977000,599406978,12.45,"['475977000', '599406978']"
324,475977497,1317671049,10.54,"['475977497', '1317671049']"
325,1317671049,475977497,10.54,"['1317671049', '475977497']"
326,1317671049,475977519,28.33,"['1317671049', '475977519']"
327,475977519,1317671049,28.33,"['475977519', '1317671049']"
328,475977519,1317670979,38.01,"['475977519', '1317670979']"
329,1317670979,475977519,38.01,"['1317670979', '475977519']"
330,1317670979,1317671434,19.81,"['1317670979', '1317671434']"
331,1317671434,1317670979,19.81,"['1317671434', '1317670979']"
332,1317671434,1317671223,16.78,"['1317671434', '1317671223']"
333,1317671223,1317671434,16.78,"['1317671223', '1317671434']"
334,1317671223,475977438,4.34,"['1317671223', '475977438']"
335,475977438,1317671223,4.34,"['475977438', '1317671223']"
336,475977438,1316694030,13.98,"['475977438', '1316694030']"
337,1316694030,475977438,13.98,"['1316694030', '475977438']"
338,1316694030,1316694003,9.07,"['1316694030', '1316694003']"
339,1316694003,1316694030,9.07,"['1316694003', '1316694030']"
340,1316694003,1316694018,69.9,"['1316694003', '1316694018']"
341,1316694018,1316694003,69.9,"['1316694018', '1316694003']"
342,1316694018,1317670896,6.16,"['1316694018', '1317670896']"
343,1317670896,1316694018,6.16,"['1317670896', '1316694018']"
344,1317670896,1317670846,12.21,"['1317670896', '1317670846']"
345,1317670846,1317670896,12.21,"['1317670846', '1317670896']"
346,1317670846,1317671121,11.23,"['1317670846', '1317671121']"
347,1317671121,1317670846,11.23,"['1317671121', '1317670846']"
348,1317671121,475977686,47.06,"['1317671121', '475977663', '475977686']"
349,475977686,1317671121,47.06,"['475977686', '475977663', '1317671121']"
350,475977686,1317671298,18.16,"['475977686', '1317671298']"
351,1317671298,475977686,18.16,"['1317671298', '475977686']"
352,1317671298,1317671333,24.42,"['1317671298', '1317671333']"
353,1317671333,1317671298,24.42,"['1317671333', '1317671298']"
354,1317671333,1317671424,20.35,"['1317671333', '1317671424']"
355,1317671424,1317671333,20.35,"['1317671424', '1317671333']"
356,1317671424,475977667,43.78,"['1317671424', '475977664', '475977667']"
357,475977667,1317671424,43.78,"['475977667', '475977664', '1317671424']"
358,475977684,1316694062,37.91,"['475977684', '1316694062']"
359,1316694062,475977684,37.91,"['1316694062', '475977684']"
360,1316694062,1317671031,34.16,"['1316694062', '1317671031']"
361,1317671031,1316694062,34.16,"['1317671031', '1316694062']"
362,1317671031,1317671125,1.97,"['1317671031', '1317671125']"
363,1317671125,1317671031,1.97,"['1317671125', '1317671031']"
364,1317671125,1316694013,22.69,"['1317671125', '1316694013']"
365,1316694013,1317671125,22.69,"['1316694013', '1317671125']"
366,1316694013,1317671325,26.9,"['1316694013', '1317671325']"
367,1317671325,1316694013,26.9,"['1317671325', '1316694013']"
368,1317671325,1316694059,27.33,"['1317671325', '1316694059']"
369,1316694059,1317671325,27.33,"['1316694059', '1317671325']"
370,1316694059,475977686,13.73,"['1316694059', '475977686']"
371,475977686,1316694059,13.73,"['475977686', '1316694059']"
372,475977686,1317671254,39.88,"['475977686', '1317671254']"
373,1317671254,475977686,39.88,"['1317671254', '475977686']"
374,1317671254,1316694010,7.9,"['1317671254', '1316694010']"
375,1316694010,1317671254,7.9,"['1316694010', '1317671254']"
376,1316694010,1316694056,30.64,"['1316694010', '1316694056']"
377,1316694056,1316694010,30.64,"['1316694056', '1316694010']"
378,1316694056,1317670980,9.1,"['1316694056', '1317670980']"
379,1317670980,1316694056,9.1,"['1317670980', '1316694056']"
380,1317670980,1317670757,7.17,"['1317670980', '1317670757']"
381,1317670757,1317670980,7.17,"['1317670757', '1317670980']"
382,1317670757,475977736,40.41,"['1317670757', '475977736']"
383,475977736,1317670757,40.41,"['475977736', '1317670757']"
384,475977736,1317671359,75.45,"['475977736', '1317671359']"
385,1317671359,475977736,75.45,"['1317671359', '475977736']"
386,1317671359,1317671073,47.71,"['1317671359', '1317671073']"
387,1317671073,1317671359,47.71,"['1317671073', '1317671359']"
388,1317671073,475977737,51.71,"['1317671073', '475977737']"
389,475977737,1317671073,51.71,"['475977737', '1317671073']"
390,481390039,1317671256,20.48,"['481390039', '475978398', '1317671256']"
391,1317671256,481390039,20.48,"['1317671256', '475978398', '481390039']"
392,1317671256,1317671227,18.79,"['1317671256', '1317671227']"
393,1317671227,1317671256,18.79,"['1317671227', '1317671256']"
394,1317671227,1317670983,11.88,"['1317671227', '1317670983']"
395,1317670983,1317671227,11.88,"['1317670983', '1317671227']"
396,1317670983,1317670957,49.48,"['1317670983', '475978399', '1317670957']"
397,1317670957,1317670983,49.48,"['1317670957', '475978399', '1317670983']"
398,1317670957,1317671306,26.15,"['1317670957', '1317671306']"
399,1317671306,1317670957,26.15,"['1317671306', '1317670957']"
400,1317671306,1317670767,3.89,"['1317671306', '1317670767']"
401,1317670767,1317671306,3.89,"['1317670767', '1317671306']"
402,1317670767,1317671197,13.8,"['1317670767', '1317671197']"
403,1317671197,1317670767,13.8,"['1317671197', '1317670767']"
404,1317671197,1317670900,10.69,"['1317671197', '1317670900']"
405,1317670900,1317671197,10.69,"['1317670900', '1317671197']"
406,1317670900,1317670769,17.86,"['1317670900', '1317670769']"
407,1317670769,1317670900,17.86,"['1317670769', '1317670900']"
