id,from,to,cost,nodes
393,1451,1459,18.79,"['1317671227', '1317671256']"
394,1451,1359,11.88,"['1317671227', '1317670983']"
395,1359,1451,11.88,"['1317670983', '1317671227']"
396,1359,1351,49.48,"['1317670983', '475978399', '1317670957']"
397,1351,1359,49.48,"['1317670957', '475978399', '1317670983']"
398,1351,1476,26.15,"['1317670957', '1317671306']"
399,1476,1351,26.15,"['1317671306', '1317670957']"
400,1476,1282,3.89,"['1317671306', '1317670767']"
401,1282,1476,3.89,"['1317670767', '1317671306']"
402,1282,1439,13.8,"['1317670767', '1317671197']"
403,1439,1282,13.8,"['1317671197', '1317670767']"
404,1439,1327,10.69,"['1317671197', '1317670900']"
405,1327,1439,10.69,"['1317670900', '1317671197']"
406,1327,1283,17.86,"['1317670900', '1317670769']"
407,1283,1327,17.86,"['1317670769', '1317670900']"
408,1283,61,11.72,"['1317670769', '475977737']"
409,61,1283,11.72,"['475977737', '1317670769']"
410,61,67,84.77,"['475977737', '475978428']"
411,67,61,84.77,"['475978428', '475977737']"
412,67,1460,50.31,"['475978428', '1317671261']"
413,1460,67,50.31,"['1317671261', '475978428']"
414,1460,1418,16.27,"['1317671261', '475978402', '1317671140']"
415,1418,1460,16.27,"['1317671140', '475978402', '1317671261']"
416,1418,1415,24.01,"['1317671140', '1317671132']"
417,1415,1418,24.01,"['1317671132', '1317671140']"
418,1415,71,15.03,"['1317671132', '475978939']"
419,71,1415,15.03,"['475978939', '1317671132']"
420,66,1530,70.59,"['475978414', '1317681865']"
421,1530,66,70.59,"['1317681865', '475978414']"
422,1530,67,112.53,"['1317681865', '475978428']"
423,67,1530,112.53,"['475978428', '1317681865']"
424,67,1279,36.91,"['475978428', '1317670750']"
425,1279,67,36.91,"['1317670750', '475978428']"
426,1279,1511,40.94,"['1317670750', '654404035', '1317671397']"
427,1511,1279,40.94,"['1317671397', '654404035', '1317670750']"
428,1511,68,39.98,"['1317671397', '475978447']"
429,68,1511,39.98,"['475978447', '1317671397']"
430,68,70,125.2,"['475978447', '475978741']"
431,70,68,125.2,"['475978741', '475978447']"
432,70,1975,179.96,"['475978741', '475978675', '1888382752', '1888382882']"
433,1975,70,179.96,"['1888382882', '1888382752', '475978675', '475978741']"
434,69,70,250.64,"['475978728', '1540904124', '475978741']"
435,70,69,250.64,"['475978741', '1540904124', '475978728']"
436,70,1966,111.31,"['475978741', '1540771151']"
437,1966,70,111.31,"['1540771151', '475978741']"
438,1966,72,94.99,"['1540771151', '475982287', '475979135']"
439,72,1966,94.99,"['475979135', '475982287', '1540771151']"
440,72,76,16.89,"['475979135', '475979960']"
441,76,72,16.89,"['475979960', '475979135']"
442,8,1017,21.25,"['76482745', '1316471992']"
443,1017,8,21.25,"['1316471992', '76482745']"
444,1017,869,43.11,"['1316471992', '76482746', '1316471728']"
445,869,1017,43.11,"['1316471728', '76482746', '1316471992']"
446,869,1042,69.4,"['1316471728', '475977804', '76482747', '1316472081']"
447,1042,869,69.4,"['1316472081', '76482747', '475977804', '1316471728']"
448,1042,995,48.35,"['1316472081', '1316471945']"
449,995,1042,48.35,"['1316471945', '1316472081']"
450,995,73,71.96,"['1316471945', '475979686']"
451,73,995,71.96,"['475979686', '1316471945']"
452,73,956,9.46,"['475979686', '1316471879']"
453,956,73,9.46,"['1316471879', '475979686']"
454,956,95,33.72,"['1316471879', '476556047']"
455,95,956,33.72,"['476556047', '1316471879']"
456,95,259,145.69,"['476556047', '602393450', '475979688', '7113864517', '602393484']"
457,259,95,145.69,"['602393484', '7113864517', '475979688', '602393450', '476556047']"
458,259,76,184.47,"['602393484', '475979690', '1319204529', '475979692', '882614541', '475979960']"
459,76,259,184.47,"['475979960', '882614541', '475979692', '1319204529', '475979690', '602393484']"
460,76,74,237.55,"['475979960', '482728439', '3356049693', '475979698']"
461,74,76,237.55,"['475979698', '3356049693', '482728439', '475979960']"
462,232,684,49.44,"['599406834', '6975647422', '1316236759']"
463,684,232,49.44,"['1316236759', '6975647422', '599406834']"
464,684,631,48.76,"['1316236759', '599406842', '1316236593']"
465,631,684,48.76,"['1316236593', '599406842', '1316236759']"
466,631,306,56.17,"['1316236593', '599406843', '654402303']"
467,306,631,56.17,"['654402303', '599406843', '1316236593']"
