,source,target,R,opt_path,opt_travel_time
10,120,0,8903.175,"[120, 92, 268, 84, 83, 125, 266, 1964, 1963, 187, 263, 141, 142, 190, 195, 237, 243, 6, 19, 7, 248, 1973, 224, 4, 129, 223, 129, 10, 326, 325, 0]",803.9410939067775
11,267,229,4891.664999999999,"[267, 121, 1823, 118, 119, 269, 123, 124, 112, 1806, 1910, 191, 266, 1964, 1963, 187, 263, 141, 142, 238, 213, 216, 327, 218, 18, 220, 229]",266.604872919489
12,120,229,5498.475,"[120, 92, 268, 84, 83, 125, 266, 1964, 1963, 187, 263, 141, 142, 238, 213, 216, 327, 218, 18, 220, 229]",269.98436037015375
13,485,0,6298.485,"[485, 488, 494, 474, 279, 275, 276, 472, 515, 527, 289, 274, 140, 272, 4, 129, 325, 0]",579.4989447735719
14,0,74,8362.739999999998,"[0, 325, 129, 4, 272, 197, 113, 206, 203, 567, 2023, 280, 2005, 535, 282, 281, 914, 12, 86, 935, 911, 57, 1747, 8, 1017, 869, 1042, 995, 73, 956, 95, 259, 76, 74]",414.04065225599834
15,229,311,5307.585000000001,"[229, 220, 18, 218, 327, 216, 213, 214, 239, 141, 263, 187, 1963, 1964, 266, 311]",278.8495049275198
16,1797,0,7712.324999999999,"[1797, 1632, 1606, 967, 1074, 988, 1026, 970, 1640, 1751, 920, 855, 1738, 994, 995, 1042, 869, 1017, 8, 1747, 57, 911, 935, 86, 12, 914, 281, 282, 535, 2005, 280, 2023, 567, 203, 206, 113, 197, 272, 2028, 1973, 224, 223, 2004, 220, 325, 0]",707.3879689519376
17,267,1421,2417.91,"[267, 121, 1823, 1831, 1915, 1878, 1875, 1818, 1888, 1879, 1848, 1846, 1902, 1880, 1877, 1950, 107, 1544, 105, 302, 2001, 1611, 2002, 114, 1779, 1651, 259, 77, 184, 1501, 68, 1354, 1507, 1352, 1375, 1289, 1421]",142.08585881659863
18,229,1077,4318.005000000002,"[229, 220, 2004, 223, 129, 4, 272, 197, 113, 206, 203, 567, 2023, 280, 2005, 535, 282, 281, 914, 12, 86, 935, 911, 57, 1747, 8, 1017, 1794, 1605, 1650, 1621, 850, 950, 940, 892, 978, 1077]",285.7171397108273
19,1884,145,5175.135,"[1884, 1913, 121, 1823, 118, 119, 269, 123, 124, 112, 1806, 1910, 191, 188, 264, 142, 238, 222, 237, 195, 6, 243, 242, 248, 7, 197, 140, 11, 43, 226, 169, 448, 451, 427, 337, 29, 401, 436, 156, 27, 201, 26, 251, 250, 145]",238.50352147056364
20,967,0,7583.459999999999,"[967, 1074, 988, 1026, 970, 1640, 1751, 920, 855, 1738, 994, 995, 1042, 869, 1017, 8, 1747, 57, 911, 935, 86, 12, 15, 14, 17, 276, 472, 515, 527, 289, 274, 113, 197, 272, 4, 129, 325, 0]",647.2555345877419
21,1318,214,3387.57,"[1318, 1481, 1323, 1298, 1417, 1464, 58, 1487, 44, 16, 15, 14, 295, 292, 745, 549, 81, 973, 536, 232, 739, 211, 716, 109, 575, 174, 1035, 981, 921, 704, 99, 193, 300, 6, 195, 190, 142, 238, 239, 214]",184.5332681085966
22,320,408,2986.3650000000007,"[320, 322, 125, 266, 191, 178, 192, 196, 193, 99, 273, 41, 113, 274, 198, 31, 170, 443, 412, 39, 158, 416, 376, 408]",148.2997476836235
23,1125,0,7754.295000000001,"[1125, 1145, 1158, 33, 1115, 1428, 1399, 1348, 1490, 1357, 1525, 1449, 53, 1255, 1238, 1248, 1326, 1305, 1410, 59, 1473, 1484, 1523, 56, 44, 16, 17, 276, 472, 515, 527, 289, 274, 140, 272, 2028, 1973, 224, 223, 2004, 220, 2004, 223, 129, 10, 326, 325, 0]",805.6890828468024
24,1884,229,4896.6900000000005,"[1884, 1913, 121, 1823, 118, 119, 269, 123, 124, 112, 1806, 1910, 191, 266, 1964, 1963, 187, 263, 141, 142, 238, 213, 216, 327, 218, 18, 220, 229]",240.46936092835762
25,245,213,2432.085,"[245, 246, 1971, 240, 247, 241, 272, 2028, 248, 7, 19, 6, 195, 190, 142, 238, 213]",128.56183103332262
26,1741,0,7623.585000000001,"[1741, 873, 1698, 1773, 908, 1620, 1758, 932, 88, 1032, 934, 997, 845, 937, 1080, 900, 98, 1039, 230, 15, 16, 17, 276, 472, 515, 527, 289, 274, 140, 272, 2028, 1973, 224, 223, 2004, 220, 2004, 223, 129, 10, 326, 325, 0]",804.5927801787655
27,0,1503,7539.375,"[0, 325, 129, 4, 272, 197, 113, 274, 289, 498, 514, 512, 518, 517, 525, 502, 472, 276, 275, 278, 277, 44, 56, 1523, 1484, 1473, 59, 1458, 1241, 1429, 1306, 1447, 1304, 1406, 1293, 1324, 1280, 1412, 1367, 1503]",412.312932544961
28,1625,0,7735.799999999999,"[1625, 1791, 1626, 1703, 1788, 1587, 1601, 1624, 1736, 1665, 878, 880, 1073, 856, 968, 1013, 900, 98, 1039, 230, 15, 16, 17, 276, 472, 515, 527, 289, 274, 140, 272, 2028, 1973, 224, 223, 2004, 223, 129, 10, 326, 325, 0]",798.8224988957782
29,1884,0,8287.574999999999,"[1884, 1913, 121, 1823, 118, 119, 269, 123, 124, 112, 1806, 1910, 191, 188, 264, 142, 238, 213, 216, 327, 218, 18, 220, 325, 0]",672.7881767269403
30,1542,0,8037.285000000001,"[1542, 1537, 1538, 1544, 105, 1851, 90, 85, 82, 1052, 959, 111, 175, 1926, 102, 99, 273, 41, 113, 274, 140, 272, 2028, 1973, 224, 223, 2004, 220, 2004, 223, 129, 10, 326, 325, 0]",804.8839122460574
31,0,379,6842.310000000001,"[0, 325, 129, 4, 272, 140, 11, 43, 226, 169, 448, 451, 427, 337, 29, 401, 436, 156, 27, 201, 245, 244, 26, 137, 136, 133, 418, 379]",330.5202084961135
32,1354,229,4759.275000000001,"[1354, 68, 1501, 184, 77, 259, 95, 956, 73, 995, 1042, 869, 1017, 8, 1747, 57, 911, 935, 86, 12, 914, 12, 15, 16, 17, 276, 472, 515, 527, 289, 274, 140, 272, 2028, 1973, 224, 223, 2004, 220, 229]",290.41322305604785
33,1419,229,4519.41,"[1419, 1506, 1385, 1497, 60, 1370, 66, 62, 3, 1319, 56, 44, 16, 17, 276, 472, 515, 527, 289, 274, 113, 197, 272, 4, 129, 325, 220, 229]",242.82919516123343
34,0,309,8592.630000000003,"[0, 325, 129, 4, 272, 197, 113, 206, 203, 567, 2023, 280, 2005, 535, 282, 281, 914, 12, 86, 935, 911, 57, 1747, 8, 1017, 869, 1042, 995, 73, 956, 95, 259, 77, 184, 1501, 68, 1354, 1507, 1352, 42, 69, 20, 5, 309]",443.8129544686808
35,1251,214,3361.38,"[1251, 1271, 59, 1473, 1484, 1523, 56, 44, 16, 15, 14, 295, 292, 745, 549, 81, 973, 536, 232, 739, 211, 716, 109, 575, 174, 1035, 981, 921, 704, 99, 193, 300, 6, 195, 190, 142, 141, 239, 214]",171.82342032713848
36,1200,0,6916.395,"[1200, 235, 233, 52, 13, 17, 276, 472, 515, 527, 289, 274, 140, 272, 4, 129, 325, 0]",606.8774373906659
37,1648,229,4543.005,"[1648, 1675, 1787, 1575, 993, 1774, 95, 956, 73, 995, 1042, 869, 1017, 8, 1747, 57, 911, 935, 86, 12, 15, 14, 17, 276, 472, 515, 527, 289, 274, 113, 197, 272, 4, 129, 325, 220, 229]",265.7443413038829
38,1283,0,7629.63,"[1283, 61, 1392, 1497, 60, 1370, 66, 62, 3, 1319, 56, 44, 16, 17, 276, 472, 515, 527, 289, 274, 113, 197, 272, 4, 129, 325, 0]",651.9668228821108
39,0,1884,8287.575,"[0, 325, 220, 18, 218, 327, 216, 213, 238, 239, 141, 263, 187, 188, 191, 266, 125, 83, 124, 123, 269, 119, 118, 1823, 121, 1913, 1884]",382.6194021532252
40,1416,261,4824.975,"[1416, 1438, 1336, 1522, 1426, 1311, 1487, 44, 16, 15, 14, 295, 292, 745, 549, 81, 973, 536, 232, 739, 211, 716, 109, 575, 174, 1035, 981, 921, 704, 99, 193, 300, 6, 195, 190, 142, 141, 239, 261]",244.58485138177673
41,1884,1362,2409.7950000000005,"[1884, 1913, 121, 1823, 1831, 1915, 1878, 1875, 1818, 1888, 1879, 1848, 1846, 1902, 1880, 1877, 1950, 107, 1544, 105, 302, 2001, 1611, 2002, 114, 1779, 1651, 259, 77, 184, 1501, 68, 1354, 1507, 1430, 1333, 1284, 1476, 1351, 1362]",140.04685933790682
42,229,873,4180.590000000004,"[229, 220, 18, 2003, 215, 243, 6, 300, 193, 99, 704, 921, 981, 1035, 174, 575, 109, 716, 211, 739, 232, 98, 894, 1034, 891, 87, 1067, 97, 1027, 1784, 96, 1688, 1613, 1661, 913, 1612, 945, 1696, 1672, 1710, 1761, 873]",288.9410089277289
43,1474,1884,2186.745,"[1474, 1518, 1332, 1460, 1418, 1415, 71, 1411, 1, 77, 259, 1651, 1779, 114, 2002, 1611, 2001, 302, 105, 1544, 107, 1950, 1877, 1880, 1902, 1846, 1848, 1879, 1888, 1818, 1875, 1878, 1915, 1831, 1823, 121, 1913, 1884]",133.77660826629997
44,28,1917,3329.01,"[28, 25, 38, 1967, 42, 1352, 1507, 1354, 68, 1501, 184, 77, 259, 1651, 1779, 114, 2002, 1611, 2001, 302, 105, 1544, 107, 1950, 1877, 1880, 1902, 1846, 1848, 1879, 1888, 1818, 1875, 1878, 1915, 1831, 1823, 121, 1913, 1884, 1917]",195.96160869204445
45,150,267,2776.4100000000008,"[150, 151, 1397, 1286, 1404, 152, 153, 1967, 42, 1352, 1507, 1354, 68, 1501, 184, 77, 259, 1651, 1779, 114, 2002, 1611, 2001, 302, 105, 1544, 107, 1950, 1877, 1880, 1902, 1846, 1848, 1879, 1888, 1818, 1875, 1878, 1915, 1831, 1823, 121, 267]",180.74925222529387
46,2025,0,7348.92,"[2025, 144, 244, 26, 201, 27, 156, 436, 401, 29, 337, 427, 451, 448, 169, 226, 240, 247, 241, 272, 4, 129, 325, 0]",631.0053821980488
47,0,715,6479.040000000001,"[0, 325, 129, 4, 272, 197, 113, 206, 203, 567, 2023, 280, 2024, 14, 15, 16, 233, 52, 293, 715]",341.88406393959053
48,1407,229,4532.955,"[1407, 1346, 1409, 1280, 1324, 1293, 1402, 1469, 1471, 60, 1370, 66, 62, 3, 1319, 56, 44, 16, 17, 276, 472, 515, 527, 289, 274, 113, 197, 272, 4, 129, 325, 220, 229]",242.0894063457281
49,1180,262,5226.795,"[1180, 1227, 1225, 313, 32, 51, 1464, 58, 1487, 44, 16, 15, 14, 295, 292, 745, 549, 81, 973, 536, 232, 739, 211, 716, 109, 575, 174, 1035, 981, 921, 704, 99, 193, 300, 6, 195, 190, 142, 141, 262]",314.13010504314
50,267,1304,2637.66,"[267, 121, 1823, 1831, 1915, 1878, 1875, 1818, 1888, 1879, 1848, 1846, 1902, 1880, 1877, 1950, 107, 1544, 105, 302, 2001, 1611, 2002, 114, 1779, 1651, 259, 77, 1, 1411, 71, 2, 1422, 62, 66, 1370, 1467, 1334, 1358, 1269, 1306, 1447, 1304]",157.96452639095224
51,205,0,6154.905000000001,"[205, 170, 31, 198, 274, 140, 272, 4, 129, 325, 0]",571.3479009595499
52,311,229,5307.585000000001,"[311, 266, 191, 188, 264, 142, 238, 213, 216, 327, 218, 18, 220, 229]",295.5452694848737
53,0,1507,7793.714999999998,"[0, 325, 129, 4, 272, 197, 113, 206, 203, 567, 2023, 280, 2005, 535, 282, 281, 914, 12, 86, 935, 911, 57, 1747, 8, 1017, 869, 1042, 995, 73, 956, 95, 259, 77, 184, 1501, 68, 1354, 1507]",408.0492942916692
54,1467,311,4706.474999999999,"[1467, 1517, 1322, 1313, 1479, 1319, 56, 44, 16, 15, 14, 295, 292, 745, 549, 81, 973, 536, 232, 684, 631, 306, 815, 775, 231, 82, 181, 124, 83, 125, 266, 311]",205.59399306056983
55,328,1324,4085.1300000000015,"[328, 327, 218, 18, 220, 325, 129, 4, 272, 140, 274, 113, 206, 203, 567, 2023, 280, 2024, 14, 17, 276, 275, 278, 277, 44, 56, 1523, 1484, 1473, 59, 1458, 1241, 1429, 1306, 1447, 1304, 1406, 1293, 1324]",262.98127578789007
56,1266,311,4477.74,"[1266, 1253, 1252, 1259, 1267, 1250, 1278, 235, 30, 52, 233, 16, 15, 14, 295, 292, 745, 549, 81, 973, 536, 232, 684, 631, 306, 815, 775, 231, 82, 181, 124, 83, 125, 266, 311]",198.84089923466718
57,229,117,5471.295,"[229, 220, 18, 218, 327, 216, 213, 214, 239, 141, 263, 187, 1963, 1964, 266, 125, 83, 84, 268, 92, 119, 118, 1823, 121, 1913, 1884, 1917, 117]",279.399486954983
58,48,1972,4639.995000000001,"[48, 46, 1149, 1196, 1135, 155, 1155, 1096, 1179, 1100, 1154, 1088, 1101, 45, 1083, 1278, 235, 233, 16, 15, 14, 295, 292, 745, 549, 81, 973, 536, 232, 739, 211, 716, 109, 575, 174, 1035, 981, 921, 704, 99, 193, 300, 6, 243, 215, 2003, 18, 1972]",284.0707404979912
59,139,0,6779.834999999999,"[139, 251, 26, 201, 27, 156, 436, 401, 29, 337, 427, 451, 448, 169, 226, 43, 11, 241, 272, 4, 129, 325, 0]",595.0841527914299
60,0,1975,8161.814999999999,"[0, 325, 129, 4, 272, 197, 113, 206, 203, 567, 2023, 280, 2005, 535, 282, 281, 914, 12, 86, 935, 911, 57, 1747, 8, 1017, 869, 1042, 995, 73, 956, 95, 259, 77, 184, 1501, 68, 70, 1975]",451.9374150281875
61,1293,0,7410.660000000001,"[1293, 1402, 1469, 1471, 60, 1370, 66, 62, 3, 1319, 56, 44, 277, 278, 275, 276, 472, 515, 527, 289, 274, 140, 272, 4, 129, 325, 0]",639.9602674559044
62,0,117,8862.18,"[0, 325, 220, 18, 218, 327, 216, 213, 238, 239, 141, 263, 187, 188, 191, 266, 125, 83, 124, 123, 269, 119, 118, 1823, 121, 1913, 1884, 1917, 117]",405.01542993856526
63,1877,0,7883.474999999999,"[1877, 1950, 1804, 1889, 1842, 1851, 90, 85, 82, 1052, 959, 111, 175, 1926, 102, 99, 273, 41, 113, 197, 272, 2028, 1973, 224, 223, 2004, 220, 325, 0]",707.0170541093985
64,120,229,5498.475,"[120, 92, 268, 84, 83, 125, 266, 1964, 1963, 187, 263, 141, 142, 238, 213, 216, 327, 218, 18, 220, 229]",269.98436037015375
65,1402,1972,4662.09,"[1402, 1469, 1471, 60, 1370, 66, 62, 3, 1319, 56, 44, 16, 15, 14, 295, 292, 745, 549, 81, 973, 536, 232, 739, 211, 716, 109, 575, 174, 1035, 981, 921, 704, 99, 193, 300, 6, 243, 215, 2003, 18, 1972]",283.4897105517258
66,1292,311,5046.6,"[1292, 1391, 1345, 1346, 1409, 1280, 1324, 1293, 1406, 1514, 1489, 1447, 1306, 1269, 1241, 1458, 1445, 1465, 1479, 1319, 56, 44, 16, 15, 14, 295, 292, 745, 549, 81, 973, 536, 232, 684, 631, 306, 815, 775, 231, 82, 181, 124, 83, 125, 266, 311]",235.85886385896345
67,0,1333,7738.394999999999,"[0, 325, 129, 4, 272, 197, 113, 206, 203, 567, 2023, 280, 2005, 535, 282, 281, 914, 12, 86, 935, 911, 57, 1747, 8, 1017, 869, 1042, 995, 73, 956, 95, 259, 77, 184, 1501, 68, 1354, 1507, 1430, 1333]",412.5701007083327
68,1193,0,7815.105,"[1193, 1112, 1132, 1129, 1219, 1157, 1102, 1143, 314, 1190, 1140, 1227, 1225, 313, 32, 51, 1464, 58, 1487, 44, 16, 17, 276, 472, 515, 527, 515, 504, 514, 498, 289, 274, 113, 197, 272, 2028, 1973, 224, 4, 129, 10, 326, 325, 0]",804.3675782709761
69,1365,0,7553.700000000001,"[1365, 1513, 1450, 1525, 1449, 53, 1255, 1238, 1248, 1326, 1305, 1410, 59, 1473, 1484, 1523, 56, 44, 16, 17, 276, 472, 515, 527, 289, 274, 113, 197, 272, 4, 129, 325, 0]",651.2662746964111
70,167,261,4022.91,"[167, 722, 204, 31, 198, 274, 113, 41, 273, 99, 193, 300, 6, 195, 190, 142, 238, 239, 261]",210.8430825819101
71,229,1183,5066.055,"[229, 220, 2004, 223, 129, 4, 272, 197, 113, 206, 203, 567, 2023, 280, 2005, 535, 282, 281, 914, 12, 86, 935, 911, 57, 1747, 8, 1017, 869, 1042, 995, 73, 956, 95, 259, 77, 184, 1501, 68, 1354, 1507, 1352, 42, 1967, 38, 25, 1114, 1156, 1183]",344.3036372213119
72,1917,0,8361.974999999999,"[1917, 1884, 1913, 121, 1823, 118, 119, 269, 123, 124, 112, 1806, 1910, 191, 188, 264, 142, 238, 213, 216, 327, 218, 18, 220, 325, 0]",683.835210713874
73,229,1381,4577.595000000001,"[229, 220, 2004, 223, 129, 4, 272, 197, 113, 274, 289, 498, 514, 527, 515, 472, 276, 275, 278, 277, 44, 56, 1523, 1484, 1473, 59, 1458, 1241, 1429, 1306, 1269, 1358, 1281, 60, 1497, 1385, 1506, 1381]",332.1279221662819
74,0,352,6212.85,"[0, 325, 129, 4, 272, 140, 11, 43, 226, 169, 448, 451, 427, 337, 29, 401, 436, 156, 416, 376, 417, 352]",297.80695754320755
75,1872,229,4518.135,"[1872, 1877, 1950, 1804, 1889, 1842, 1851, 90, 85, 82, 1052, 959, 111, 175, 1926, 102, 99, 193, 300, 6, 243, 215, 2003, 18, 220, 229]",269.0567343041358
76,1395,229,4619.895,"[1395, 63, 1461, 1340, 1425, 1431, 1496, 1443, 1316, 1305, 1410, 59, 1473, 1484, 1523, 56, 44, 277, 278, 275, 276, 472, 515, 527, 289, 274, 140, 272, 4, 129, 325, 220, 229]",263.762338272266
77,1392,261,5255.37,"[1392, 1497, 60, 1370, 66, 62, 3, 1319, 56, 44, 16, 15, 14, 295, 292, 745, 549, 81, 973, 536, 232, 739, 211, 716, 109, 575, 174, 1035, 981, 921, 704, 99, 193, 300, 6, 195, 190, 142, 238, 239, 261]",246.03945497007192
78,267,1131,2707.9500000000003,"[267, 121, 1823, 1831, 1915, 1878, 1875, 1818, 1888, 1879, 1848, 1846, 1902, 1880, 1877, 1950, 107, 1544, 105, 302, 2001, 1611, 2002, 114, 1779, 1651, 259, 77, 184, 1501, 68, 1354, 1507, 1352, 42, 1967, 38, 37, 1363, 1147, 1111, 1131]",156.96414851914517
79,311,228,4936.184999999999,"[311, 266, 191, 178, 192, 196, 193, 300, 6, 19, 7, 248, 2028, 272, 140, 11, 43, 226, 169, 448, 451, 427, 337, 29, 401, 436, 156, 27, 201, 245, 227, 228]",267.25613600075366
80,216,1163,4157.025000000001,"[216, 213, 238, 142, 264, 188, 191, 1910, 1806, 112, 124, 181, 82, 85, 90, 1851, 105, 302, 2001, 1611, 2002, 114, 1779, 1651, 259, 77, 184, 1501, 68, 1354, 1507, 1352, 42, 1967, 38, 25, 1114, 1105, 1120, 1224, 1163]",238.89167564615647
81,0,366,6932.355000000001,"[0, 325, 129, 4, 272, 140, 11, 43, 226, 169, 448, 451, 427, 337, 29, 401, 412, 39, 173, 159, 160, 777, 2011, 163, 430, 406, 343, 420, 363, 366]",362.9914812342573
82,328,417,2907.075,"[328, 327, 218, 18, 220, 325, 129, 4, 272, 140, 11, 43, 226, 169, 448, 451, 427, 337, 29, 401, 436, 156, 416, 376, 417]",160.54382083709865
83,1143,0,7570.59,"[1143, 314, 1190, 1140, 1227, 1225, 313, 32, 51, 1464, 58, 1487, 44, 277, 278, 275, 276, 472, 515, 527, 289, 274, 140, 272, 2028, 1973, 224, 223, 2004, 220, 325, 0]",707.7783799441079
84,117,1528,3072.0300000000007,"[117, 1917, 1884, 1913, 121, 1823, 1831, 1915, 1878, 1875, 1818, 1888, 1879, 1848, 1846, 1902, 1880, 1877, 1950, 107, 1544, 105, 302, 2001, 1611, 2002, 114, 1779, 1651, 259, 77, 184, 1501, 68, 1354, 1507, 1352, 1375, 1359, 1451, 1440, 1528]",171.1641341324544
85,1884,229,4896.6900000000005,"[1884, 1913, 121, 1823, 118, 119, 269, 123, 124, 112, 1806, 1910, 191, 266, 1964, 1963, 187, 263, 141, 142, 238, 213, 216, 327, 218, 18, 220, 229]",240.46936092835762
86,0,1293,7410.66,"[0, 325, 129, 4, 272, 197, 113, 274, 289, 498, 514, 512, 518, 517, 525, 502, 472, 276, 275, 278, 277, 44, 56, 1523, 1484, 1473, 59, 1458, 1241, 1429, 1306, 1447, 1304, 1406, 1293]",396.76498251424584
87,0,1507,7793.714999999998,"[0, 325, 129, 4, 272, 197, 113, 206, 203, 567, 2023, 280, 2005, 535, 282, 281, 914, 12, 86, 935, 911, 57, 1747, 8, 1017, 869, 1042, 995, 73, 956, 95, 259, 77, 184, 1501, 68, 1354, 1507]",408.0492942916692
88,229,1400,4797.3150000000005,"[229, 220, 2004, 223, 129, 4, 272, 197, 113, 206, 203, 567, 2023, 280, 2005, 535, 282, 281, 914, 12, 86, 935, 911, 57, 1747, 8, 1017, 869, 1042, 995, 73, 956, 95, 259, 77, 184, 1501, 68, 1354, 1507, 1352, 1375, 1359, 1451, 1440, 1400]",329.50189087121606
89,229,1315,4445.655000000002,"[229, 220, 2004, 223, 129, 4, 272, 197, 113, 274, 289, 498, 514, 527, 515, 472, 276, 275, 278, 277, 44, 56, 1523, 1484, 1473, 59, 1458, 1241, 1429, 1306, 1447, 1304, 1406, 1293, 1402, 1315]",314.05297134265845
90,416,328,2829.03,"[416, 156, 436, 401, 29, 337, 427, 451, 448, 169, 226, 43, 11, 140, 272, 4, 129, 325, 220, 18, 218, 327, 328]",155.15036901618842
91,229,267,4891.665,"[229, 220, 18, 218, 327, 216, 213, 214, 239, 141, 263, 187, 1963, 1964, 266, 125, 83, 84, 268, 92, 119, 118, 1823, 121, 267]",267.7285422921751
92,267,0,8282.55,"[267, 121, 1823, 118, 119, 269, 123, 124, 112, 1806, 1910, 191, 188, 264, 142, 238, 213, 216, 327, 218, 18, 220, 325, 0]",690.362173676984
93,229,90,4064.925,"[229, 220, 18, 2003, 215, 243, 6, 300, 193, 99, 102, 1926, 175, 111, 959, 1052, 82, 85, 90]",256.14575966169446
94,216,386,3247.7400000000007,"[216, 327, 218, 18, 220, 325, 129, 4, 272, 140, 274, 198, 31, 170, 443, 412, 39, 173, 168, 138, 40, 386]",160.01488842939685
95,1832,229,4643.775000000001,"[1832, 1906, 1879, 1888, 1818, 1875, 1878, 1853, 1855, 118, 119, 269, 123, 124, 112, 1806, 1910, 191, 188, 264, 142, 238, 213, 216, 327, 218, 18, 220, 229]",270.85663929841485
96,1158,0,7654.02,"[1158, 33, 54, 1382, 55, 1357, 1525, 1449, 53, 1255, 1238, 1248, 1326, 1305, 1410, 59, 1473, 1484, 1523, 56, 44, 277, 278, 275, 276, 472, 515, 527, 289, 274, 140, 272, 2028, 1973, 224, 223, 2004, 220, 325, 0]",707.423630178499
97,311,229,5307.585000000001,"[311, 266, 191, 188, 264, 142, 238, 213, 216, 327, 218, 18, 220, 229]",295.5452694848737
98,229,1106,4961.714999999999,"[229, 220, 2004, 223, 129, 4, 272, 197, 113, 206, 203, 567, 2023, 280, 2005, 535, 282, 281, 914, 12, 86, 935, 911, 57, 1747, 8, 1017, 869, 1042, 995, 73, 956, 95, 259, 77, 184, 1501, 68, 1354, 1507, 1352, 42, 1967, 38, 37, 1363, 1147, 1111, 1106]",352.11082687840815
99,1308,229,4614.66,"[1308, 1279, 67, 1460, 1418, 1415, 71, 2, 1422, 62, 3, 1319, 56, 44, 16, 17, 276, 472, 515, 527, 289, 274, 113, 197, 272, 4, 129, 325, 220, 229]",243.13546698690294
