,source,target,resource
198,1501.0,184.0,2.6488799999999997
199,184.0,1501.0,2.6488799999999997
200,184.0,77.0,6.25896
201,77.0,184.0,6.25896
202,77.0,259.0,2.09088
203,259.0,77.0,2.09088
204,259.0,1651.0,4.338
205,1651.0,259.0,4.338
206,1651.0,1779.0,1.0886399999999998
207,1779.0,1651.0,1.0886399999999998
208,1779.0,114.0,0.9468
209,114.0,1779.0,0.9468
210,114.0,2002.0,8.9856
211,2002.0,114.0,8.9856
212,2002.0,1611.0,1.22688
213,1611.0,2002.0,1.22688
214,1611.0,2001.0,16.860239999999997
215,2001.0,1611.0,16.860239999999997
216,2001.0,302.0,4.60584
217,302.0,2001.0,4.60584
218,302.0,105.0,7.01352
219,105.0,302.0,7.01352
220,105.0,1851.0,10.64016
221,1851.0,105.0,10.64016
222,1851.0,90.0,7.65216
223,90.0,1851.0,7.65216
224,90.0,85.0,19.548
225,85.0,90.0,19.548
226,85.0,82.0,0.76104
227,82.0,85.0,0.76104
228,82.0,1052.0,3.04344
229,1052.0,82.0,3.04344
230,1052.0,959.0,2.7115199999999997
231,959.0,1052.0,2.7115199999999997
232,959.0,111.0,3.14712
233,111.0,959.0,3.14712
234,111.0,175.0,7.7148
235,175.0,111.0,7.7148
236,175.0,1926.0,3.1334400000000002
237,1926.0,175.0,3.1334400000000002
238,1926.0,102.0,4.64832
239,102.0,1926.0,4.64832
240,102.0,99.0,18.3024
241,99.0,102.0,18.3024
242,99.0,273.0,9.02664
243,273.0,99.0,9.02664
244,273.0,41.0,9.82296
245,41.0,273.0,9.82296
246,41.0,113.0,9.7308
247,113.0,41.0,9.7308
248,113.0,274.0,1.17144
249,274.0,113.0,1.17144
250,274.0,198.0,14.218559999999998
251,198.0,274.0,14.218559999999998
252,198.0,31.0,6.827039999999999
253,31.0,198.0,6.827039999999999
254,38.0,25.0,12.9384
255,25.0,38.0,12.9384
256,25.0,28.0,24.434639999999998
257,28.0,25.0,24.434639999999998
258,31.0,2006.0,9.3132
259,2006.0,31.0,9.3132
260,2006.0,415.0,6.438
261,415.0,2006.0,6.438
262,415.0,43.0,8.445599999999999
263,43.0,415.0,8.445599999999999
264,43.0,247.0,1.5983999999999998
265,247.0,43.0,1.5983999999999998
266,47.0,1141.0,7.097999999999999
267,1141.0,47.0,7.097999999999999
268,1141.0,48.0,6.5196
269,48.0,1141.0,6.5196
270,48.0,46.0,3.7775999999999996
271,46.0,48.0,3.7775999999999996
272,46.0,1149.0,3.786
273,1149.0,46.0,3.786
274,1149.0,1196.0,1.7832
275,1196.0,1149.0,1.7832
276,1196.0,1135.0,1.5564
277,1135.0,1196.0,1.5564
278,1135.0,155.0,2.856
279,155.0,1135.0,2.856
280,155.0,1155.0,1.8347999999999998
281,1155.0,155.0,1.8347999999999998
282,1155.0,1096.0,2.7899999999999996
283,1096.0,1155.0,2.7899999999999996
284,1096.0,1179.0,0.9107999999999999
285,1179.0,1096.0,0.9107999999999999
286,1179.0,1100.0,1.0415999999999999
287,1100.0,1179.0,1.0415999999999999
288,1100.0,1154.0,3.018
289,1154.0,1100.0,3.018
290,1154.0,1088.0,0.6335999999999999
291,1088.0,1154.0,0.6335999999999999
292,1088.0,1101.0,1.4364
293,1101.0,1088.0,1.4364
294,1101.0,45.0,3.2052
295,45.0,1101.0,3.2052
296,166.0,172.0,15.260399999999999
297,172.0,166.0,15.260399999999999
298,48.0,1214.0,4.7172
299,1214.0,48.0,4.7172
300,1214.0,1094.0,2.5608
301,1094.0,1214.0,2.5608
302,1094.0,1152.0,3.9504
303,1152.0,1094.0,3.9504
304,1152.0,49.0,4.017599999999999
305,49.0,1152.0,4.017599999999999
306,53.0,1260.0,9.789599999999998
307,1260.0,53.0,9.789599999999998
308,1260.0,1435.0,2.7491999999999996
309,1435.0,1260.0,2.7491999999999996
310,1435.0,1502.0,2.2607999999999997
311,1502.0,1435.0,2.2607999999999997
312,1502.0,51.0,7.3908
313,51.0,1502.0,7.3908
314,51.0,1372.0,9.572399999999998
315,1372.0,51.0,9.572399999999998
316,1372.0,1997.0,2.4479999999999995
317,1997.0,1372.0,2.4479999999999995
318,1997.0,1979.0,15.130799999999999
319,1979.0,1997.0,15.130799999999999
320,1979.0,233.0,11.7216
321,233.0,1979.0,11.7216
322,233.0,52.0,1.4939999999999998
323,52.0,233.0,1.4939999999999998
324,54.0,1382.0,1.2647999999999997
325,1382.0,54.0,1.2647999999999997
326,1382.0,55.0,3.3995999999999995
327,55.0,1382.0,3.3995999999999995
328,55.0,1357.0,4.5611999999999995
329,1357.0,55.0,4.5611999999999995
330,1357.0,1525.0,2.3771999999999998
331,1525.0,1357.0,2.3771999999999998
332,1525.0,1449.0,2.0136
333,1449.0,1525.0,2.0136
334,1449.0,53.0,0.5207999999999999
335,53.0,1449.0,0.5207999999999999
336,53.0,1255.0,1.6776
337,1255.0,53.0,1.6776
338,1255.0,1238.0,1.0884
339,1238.0,1255.0,1.0884
340,1238.0,1248.0,8.388
341,1248.0,1238.0,8.388
342,1248.0,1326.0,0.7392
343,1326.0,1248.0,0.7392
344,1326.0,1305.0,1.4652
345,1305.0,1326.0,1.4652
346,1305.0,1410.0,1.3476
347,1410.0,1305.0,1.3476
348,1410.0,59.0,5.6472
349,59.0,1410.0,5.6472
350,59.0,1473.0,2.1792
351,1473.0,59.0,2.1792
352,1473.0,1484.0,2.9304
353,1484.0,1473.0,2.9304
354,1484.0,1523.0,2.442
355,1523.0,1484.0,2.442
356,1523.0,56.0,5.2536
357,56.0,1523.0,5.2536
358,58.0,1273.0,4.549199999999999
359,1273.0,58.0,4.549199999999999
360,1273.0,1373.0,4.0992
361,1373.0,1273.0,4.0992
362,1373.0,1413.0,0.23639999999999997
363,1413.0,1373.0,0.23639999999999997
364,1413.0,1244.0,2.7228
365,1244.0,1413.0,2.7228
366,1244.0,1482.0,3.2279999999999998
367,1482.0,1244.0,3.2279999999999998
368,1482.0,1271.0,3.2795999999999994
369,1271.0,1482.0,3.2795999999999994
370,1271.0,59.0,1.6476
371,59.0,1271.0,1.6476
372,59.0,1458.0,4.7856
373,1458.0,59.0,4.7856
374,1458.0,1241.0,0.948
375,1241.0,1458.0,0.948
376,1241.0,1269.0,3.6767999999999996
377,1269.0,1241.0,3.6767999999999996
378,1269.0,1358.0,1.0919999999999999
379,1358.0,1269.0,1.0919999999999999
380,1358.0,1281.0,0.8603999999999999
381,1281.0,1358.0,0.8603999999999999
382,1281.0,60.0,4.849199999999999
383,60.0,1281.0,4.849199999999999
384,60.0,1497.0,9.054
385,1497.0,60.0,9.054
386,1497.0,1392.0,5.7252
387,1392.0,1497.0,5.7252
388,1392.0,61.0,6.2052
389,61.0,1392.0,6.2052
390,153.0,1459.0,2.4576
391,1459.0,153.0,2.4576
392,1459.0,1451.0,2.2548
393,1451.0,1459.0,2.2548
394,1451.0,1359.0,1.4256
395,1359.0,1451.0,1.4256
396,1359.0,1351.0,5.937599999999999
397,1351.0,1359.0,5.937599999999999
398,1351.0,1476.0,3.1379999999999995
399,1476.0,1351.0,3.1379999999999995
400,1476.0,1282.0,0.4668
401,1282.0,1476.0,0.4668
402,1282.0,1439.0,1.656
403,1439.0,1282.0,1.656
404,1439.0,1327.0,1.2828
405,1327.0,1439.0,1.2828
406,1327.0,1283.0,2.1431999999999998
407,1283.0,1327.0,2.1431999999999998
408,1283.0,61.0,1.4063999999999999
409,61.0,1283.0,1.4063999999999999
410,61.0,67.0,10.1724
411,67.0,61.0,10.1724
412,67.0,1460.0,6.0371999999999995
413,1460.0,67.0,6.0371999999999995
414,1460.0,1418.0,1.9524
415,1418.0,1460.0,1.9524
416,1418.0,1415.0,2.8811999999999998
417,1415.0,1418.0,2.8811999999999998
418,1415.0,71.0,1.8035999999999999
419,71.0,1415.0,1.8035999999999999
420,66.0,1530.0,8.4708
421,1530.0,66.0,8.4708
422,1530.0,67.0,13.503599999999999
423,67.0,1530.0,13.503599999999999
424,67.0,1279.0,4.429199999999999
425,1279.0,67.0,4.429199999999999
426,1279.0,1511.0,4.912799999999999
427,1511.0,1279.0,4.912799999999999
428,1511.0,68.0,4.797599999999999
429,68.0,1511.0,4.797599999999999
430,68.0,70.0,15.024
431,70.0,68.0,15.024
432,70.0,1975.0,21.5952
433,1975.0,70.0,21.5952
434,69.0,70.0,30.076799999999995
435,70.0,69.0,30.076799999999995
436,70.0,1966.0,13.357199999999999
437,1966.0,70.0,13.357199999999999
438,1966.0,72.0,11.398799999999998
439,72.0,1966.0,11.398799999999998
440,72.0,76.0,2.0267999999999997
441,76.0,72.0,2.0267999999999997
442,8.0,1017.0,1.53
443,1017.0,8.0,1.53
444,1017.0,869.0,3.10392
445,869.0,1017.0,3.10392
446,869.0,1042.0,4.9968
447,1042.0,869.0,4.9968
448,1042.0,995.0,3.4812
449,995.0,1042.0,3.4812
450,995.0,73.0,5.181119999999999
451,73.0,995.0,5.181119999999999
452,73.0,956.0,0.6811200000000001
453,956.0,73.0,0.6811200000000001
454,956.0,95.0,2.4278399999999998
455,95.0,956.0,2.4278399999999998
456,95.0,259.0,10.48968
457,259.0,95.0,10.48968
458,259.0,76.0,13.281839999999999
459,76.0,259.0,13.281839999999999
460,76.0,74.0,17.1036
461,74.0,76.0,17.1036
462,232.0,684.0,3.5596799999999997
463,684.0,232.0,3.5596799999999997
464,684.0,631.0,3.5107199999999996
465,631.0,684.0,3.5107199999999996
466,631.0,306.0,4.04424
467,306.0,631.0,4.04424
468,306.0,815.0,2.1254399999999998
469,815.0,306.0,2.1254399999999998
470,815.0,775.0,1.61784
471,775.0,815.0,1.61784
472,775.0,231.0,5.56632
473,231.0,775.0,5.56632
474,231.0,82.0,6.74784
475,82.0,231.0,6.74784
476,82.0,181.0,5.40504
477,181.0,82.0,5.40504
478,181.0,124.0,13.18392
479,124.0,181.0,13.18392
480,124.0,83.0,1.2873599999999998
481,83.0,124.0,1.2873599999999998
482,84.0,123.0,1.35864
483,123.0,84.0,1.35864
484,123.0,1992.0,4.95792
485,1992.0,123.0,4.95792
486,1992.0,1990.0,3.05712
487,1990.0,1992.0,3.05712
488,1990.0,182.0,5.12928
489,182.0,1990.0,5.12928
490,182.0,85.0,5.664960000000001
491,85.0,182.0,5.664960000000001
492,85.0,103.0,6.7536
493,103.0,85.0,6.7536
494,103.0,968.0,9.11376
495,968.0,103.0,9.11376
496,968.0,1013.0,3.7087199999999996
497,1013.0,968.0,3.7087199999999996
498,1013.0,900.0,5.955119999999999
499,900.0,1013.0,5.955119999999999
500,900.0,98.0,2.06064
501,98.0,900.0,2.06064
502,98.0,1039.0,6.13224
503,1039.0,98.0,6.13224
504,1039.0,230.0,6.35184
505,230.0,1039.0,6.35184
506,86.0,1048.0,15.890399999999998
507,1048.0,86.0,15.890399999999998
508,1048.0,951.0,1.2731999999999999
509,951.0,1048.0,1.2731999999999999
510,951.0,918.0,4.8108
511,918.0,951.0,4.8108
512,918.0,885.0,3.1428
513,885.0,918.0,3.1428
514,885.0,857.0,4.771199999999999
515,857.0,885.0,4.771199999999999
516,857.0,1583.0,0.7979999999999999
517,1583.0,857.0,0.7979999999999999
518,1583.0,1022.0,0.7956
519,1022.0,1583.0,0.7956
520,1022.0,87.0,4.6499999999999995
521,87.0,1022.0,4.6499999999999995
522,57.0,881.0,9.705599999999999
523,881.0,57.0,9.705599999999999
524,881.0,1031.0,3.4223999999999997
525,1031.0,881.0,3.4223999999999997
526,1031.0,847.0,3.4715999999999996
527,847.0,1031.0,3.4715999999999996
528,847.0,958.0,6.887999999999999
529,958.0,847.0,6.887999999999999
530,958.0,1657.0,1.6199999999999999
531,1657.0,958.0,1.6199999999999999
532,1657.0,1782.0,0.45359999999999995
533,1782.0,1657.0,0.45359999999999995
534,1782.0,1688.0,6.444
535,1688.0,1782.0,6.444
536,1688.0,96.0,0.6107999999999999
537,96.0,1688.0,0.6107999999999999
538,96.0,886.0,1.8312
539,886.0,96.0,1.8312
540,886.0,1746.0,1.716
541,1746.0,886.0,1.716
542,1746.0,996.0,2.0892
543,996.0,1746.0,2.0892
544,996.0,1689.0,0.6971999999999999
545,1689.0,996.0,0.6971999999999999
546,1689.0,1723.0,2.562
547,1723.0,1689.0,2.562
548,1723.0,1773.0,4.587599999999999
549,1773.0,1723.0,4.587599999999999
550,1773.0,908.0,0.9503999999999999
551,908.0,1773.0,0.9503999999999999
552,908.0,1585.0,1.8876
553,1585.0,908.0,1.8876
554,1585.0,1559.0,4.483199999999999
555,1559.0,1585.0,4.483199999999999
556,1559.0,101.0,3.5495999999999994
557,101.0,1559.0,3.5495999999999994
558,101.0,1800.0,4.5324
559,1800.0,101.0,4.5324
560,1800.0,1703.0,3.6131999999999995
561,1703.0,1800.0,3.6131999999999995
562,1703.0,1788.0,1.0031999999999999
563,1788.0,1703.0,1.0031999999999999
564,1788.0,1795.0,1.5768
565,1795.0,1788.0,1.5768
566,1795.0,1658.0,3.3095999999999997
567,1658.0,1795.0,3.3095999999999997
568,1658.0,1708.0,3.9359999999999995
569,1708.0,1658.0,3.9359999999999995
570,1708.0,1574.0,2.2068
571,1574.0,1708.0,2.2068
572,1574.0,104.0,3.1691999999999996
573,104.0,1574.0,3.1691999999999996
574,104.0,90.0,14.638799999999998
575,90.0,104.0,14.638799999999998
576,93.0,1730.0,10.1664
577,1730.0,93.0,10.1664
578,1730.0,1649.0,2.0747999999999998
579,1649.0,1730.0,2.0747999999999998
580,1649.0,94.0,1.9908
581,94.0,1649.0,1.9908
582,94.0,1776.0,6.682799999999999
583,1776.0,94.0,6.682799999999999
584,1776.0,1724.0,4.4544
585,1724.0,1776.0,4.4544
586,1724.0,1534.0,3.2316
587,1534.0,1724.0,3.2316
588,98.0,232.0,0.80568
589,232.0,98.0,0.80568
590,232.0,739.0,7.227359999999999
591,739.0,232.0,7.227359999999999
592,739.0,211.0,5.27472
593,211.0,739.0,5.27472
594,211.0,716.0,1.62216
595,716.0,211.0,1.62216
596,716.0,109.0,1.1088
597,109.0,716.0,1.1088
598,109.0,575.0,1.6898399999999998
599,575.0,109.0,1.6898399999999998
600,575.0,174.0,4.986
601,174.0,575.0,4.986
602,174.0,1035.0,6.245279999999999
603,1035.0,174.0,6.245279999999999
604,1035.0,981.0,1.5508799999999998
605,981.0,1035.0,1.5508799999999998
606,981.0,921.0,1.9223999999999999
607,921.0,981.0,1.9223999999999999
608,921.0,704.0,2.30832
609,704.0,921.0,2.30832
610,704.0,99.0,1.82304
611,99.0,704.0,1.82304
612,102.0,106.0,12.355199999999998
613,106.0,102.0,12.355199999999998
614,106.0,110.0,12.4572
615,110.0,106.0,12.4572
616,110.0,1051.0,5.3759999999999994
617,1051.0,110.0,5.3759999999999994
618,1051.0,790.0,0.864
619,790.0,1051.0,0.864
620,790.0,990.0,2.7036
621,990.0,790.0,2.7036
622,990.0,231.0,6.9948
623,231.0,990.0,6.9948
624,231.0,103.0,1.5839999999999999
625,103.0,231.0,1.5839999999999999
626,103.0,89.0,16.850399999999997
627,89.0,103.0,16.850399999999997
628,109.0,698.0,4.77
629,698.0,109.0,4.77
630,698.0,562.0,1.6607999999999998
631,562.0,698.0,1.6607999999999998
632,562.0,752.0,3.3876
633,752.0,562.0,3.3876
634,752.0,610.0,2.4408
635,610.0,752.0,2.4408
636,610.0,307.0,2.4395999999999995
637,307.0,610.0,2.4395999999999995
638,307.0,763.0,2.5104
639,763.0,307.0,2.5104
640,763.0,711.0,3.3995999999999995
641,711.0,763.0,3.3995999999999995
642,711.0,803.0,2.4455999999999998
643,803.0,711.0,2.4455999999999998
644,803.0,564.0,1.9379999999999997
645,564.0,803.0,1.9379999999999997
646,564.0,654.0,1.8239999999999998
647,654.0,564.0,1.8239999999999998
648,654.0,548.0,1.5191999999999999
649,548.0,654.0,1.5191999999999999
650,548.0,110.0,2.3651999999999997
651,110.0,548.0,2.3651999999999997
652,110.0,111.0,9.925199999999998
653,111.0,110.0,9.925199999999998
654,111.0,180.0,10.661999999999999
655,180.0,111.0,10.661999999999999
656,180.0,112.0,18.1056
657,112.0,180.0,18.1056
658,112.0,125.0,2.4204
659,125.0,112.0,2.4204
660,125.0,322.0,6.1812
661,322.0,125.0,6.1812
662,322.0,320.0,6.183599999999999
663,320.0,322.0,6.183599999999999
664,114.0,115.0,61.8096
665,115.0,114.0,61.8096
666,132.0,134.0,29.211599999999997
667,134.0,132.0,29.211599999999997
668,134.0,389.0,2.9147999999999996
669,389.0,134.0,2.9147999999999996
670,389.0,370.0,2.6544
671,370.0,389.0,2.6544
672,370.0,357.0,1.6764
673,357.0,370.0,1.6764
674,357.0,399.0,2.0423999999999998
675,399.0,357.0,2.0423999999999998
676,399.0,452.0,1.1496
677,452.0,399.0,1.1496
678,452.0,372.0,0.9408
679,372.0,452.0,0.9408
680,372.0,379.0,1.1807999999999998
681,379.0,372.0,1.1807999999999998
682,379.0,418.0,0.8003999999999999
683,418.0,379.0,0.8003999999999999
684,418.0,133.0,5.1924
685,133.0,418.0,5.1924
686,133.0,138.0,5.5956
687,138.0,133.0,5.5956
688,136.0,449.0,3.4943999999999997
689,449.0,136.0,3.4943999999999997
690,449.0,413.0,2.2152
691,413.0,449.0,2.2152
692,413.0,441.0,1.9955999999999998
693,441.0,413.0,1.9955999999999998
694,441.0,378.0,1.9667999999999999
695,378.0,441.0,1.9667999999999999
696,378.0,393.0,2.6075999999999997
697,393.0,378.0,2.6075999999999997
698,393.0,135.0,5.0196
699,135.0,393.0,5.0196
700,135.0,360.0,3.0587999999999997
701,360.0,135.0,3.0587999999999997
702,360.0,381.0,2.3387999999999995
703,381.0,360.0,2.3387999999999995
704,381.0,127.0,24.295199999999998
705,127.0,381.0,24.295199999999998
706,31.0,170.0,9.90792
707,170.0,31.0,9.90792
708,170.0,443.0,5.401439999999999
709,443.0,170.0,5.401439999999999
710,443.0,412.0,2.5704000000000002
711,412.0,443.0,2.5704000000000002
712,412.0,39.0,2.35512
713,39.0,412.0,2.35512
714,39.0,173.0,1.6142400000000001
715,173.0,39.0,1.6142400000000001
716,173.0,168.0,15.775920000000001
717,168.0,173.0,15.775920000000001
718,168.0,138.0,1.9202400000000002
719,138.0,168.0,1.9202400000000002
720,138.0,40.0,5.747039999999999
721,40.0,138.0,5.747039999999999
722,126.0,139.0,30.056399999999996
723,139.0,126.0,30.056399999999996
724,139.0,442.0,5.177999999999999
725,442.0,139.0,5.177999999999999
726,442.0,137.0,11.171999999999999
727,137.0,442.0,11.171999999999999
728,137.0,1968.0,11.8296
729,1968.0,137.0,11.8296
730,1968.0,425.0,12.0864
731,425.0,1968.0,12.0864
732,425.0,158.0,7.055999999999999
733,158.0,425.0,7.055999999999999
734,26.0,251.0,8.2692
735,251.0,26.0,8.2692
736,314.0,1192.0,7.092
737,1192.0,314.0,7.092
738,1192.0,1189.0,6.7584
739,1189.0,1192.0,6.7584
740,1189.0,312.0,2.2704
741,312.0,1189.0,2.2704
742,312.0,1210.0,1.8792
743,1210.0,312.0,1.8792
744,1210.0,1142.0,3.9324
745,1142.0,1210.0,3.9324
746,1142.0,148.0,3.6431999999999998
747,148.0,1142.0,3.6431999999999998
748,148.0,1163.0,3.8135999999999997
749,1163.0,148.0,3.8135999999999997
750,1163.0,1224.0,1.3499999999999999
751,1224.0,1163.0,1.3499999999999999
752,1224.0,1120.0,3.9299999999999997
753,1120.0,1224.0,3.9299999999999997
754,1120.0,1105.0,3.4055999999999997
755,1105.0,1120.0,3.4055999999999997
756,1105.0,1114.0,3.3887999999999994
757,1114.0,1105.0,3.3887999999999994
758,1114.0,25.0,2.5079999999999996
759,25.0,1114.0,2.5079999999999996
760,36.0,64.0,2.3268
761,64.0,36.0,2.3268
762,64.0,1130.0,2.2392
763,1130.0,64.0,2.2392
764,1130.0,1215.0,2.5536
765,1215.0,1130.0,2.5536
766,1215.0,1159.0,2.5571999999999995
767,1159.0,1215.0,2.5571999999999995
768,1159.0,1188.0,3.1247999999999996
769,1188.0,1159.0,3.1247999999999996
770,1188.0,148.0,3.0168
771,148.0,1188.0,3.0168
772,148.0,1117.0,3.6563999999999997
773,1117.0,148.0,3.6563999999999997
774,1117.0,2020.0,2.3831999999999995
775,2020.0,1117.0,2.3831999999999995
776,2020.0,2019.0,1.5527999999999997
777,2019.0,2020.0,1.5527999999999997
778,2019.0,1153.0,1.1844
779,1153.0,2019.0,1.1844
780,1153.0,2018.0,1.9295999999999998
781,2018.0,1153.0,1.9295999999999998
782,2018.0,65.0,5.4792
783,65.0,2018.0,5.4792
784,55.0,1348.0,3.6576
785,1348.0,55.0,3.6576
786,1348.0,1361.0,1.4724
787,1361.0,1348.0,1.4724
788,1361.0,1500.0,2.652
789,1500.0,1361.0,2.652
790,1500.0,149.0,1.9728
791,149.0,1500.0,1.9728
792,149.0,150.0,4.227599999999999
793,150.0,149.0,4.227599999999999
794,151.0,1397.0,5.9639999999999995
795,1397.0,151.0,5.9639999999999995
796,1397.0,1286.0,7.6164
797,1286.0,1397.0,7.6164
798,1286.0,1404.0,2.5031999999999996
799,1404.0,1286.0,2.5031999999999996
800,1404.0,152.0,3.7944
801,152.0,1404.0,3.7944
802,152.0,153.0,1.2684
803,153.0,152.0,1.2684
804,153.0,1967.0,2.8415999999999997
805,1967.0,153.0,2.8415999999999997
806,154.0,234.0,1.5084
807,234.0,154.0,1.5084
808,234.0,1090.0,11.4012
809,1090.0,234.0,11.4012
